trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,2458,370000000,1406090000,845000000,162812000,91000000,75425000
2025-12-16,1714,131000000,489000000,0,0,18000000,1000000
2025-12-16,2913,99000000,435000000,0,0,26000000,32000000
2025-12-16,2010,230000000,581000000,0,0,26000000,18000000
2025-12-16,3014,186000000,600000000,178000000,103242000,22195000,27304000
2025-12-16,2393,8055000000,2555000000,188000000,6422104000,418000000,32000000
2025-12-16,2645,426000000,745050000,18000000,0,69000000,122103000
2025-12-16,5243,219000000,588000000,0,0,30228000,23416000
2025-12-16,6781,205981000,537334000,18000000,0,46845000,100350000
2025-12-16,9917,104000000,324000000,0,177000000,45000000,16000000
2025-12-16,009801,151512000,32000000,0,0,805000000,1296555000
2025-12-16,2614,174000000,541880000,0,0,3000000,10000000
2025-12-16,2838,826000000,1257952000,0,0,237000000,183000000
2025-12-16,3035,1519823000,2059695000,0,0,308216000,155377000
2025-12-16,1909,247000000,599000000,0,0,52625000,88000000
2025-12-16,6691,487152000,829740000,0,11000000,27648000,63509000
2025-12-16,3049,470001000,863000000,0,0,4311000,7503000
2025-12-16,3605,327000000,735000000,0,0,29039000,18800000
2025-12-16,2208,588000000,988094000,0,0,33000000,35000000
2025-12-16,1529,165000000,568630000,0,0,2000000,2018000
2025-12-16,00892,64000000,27000000,0,0,982169000,1424536000
2025-12-16,00902,31000000,117000000,0,0,311000000,631241000
2025-12-16,2106,214000000,627000000,0,0,35000000,29187000
2025-12-16,9921,300026000,689500000,0,20000000,54000000,51964000
2025-12-16,3056,154950000,555143000,0,0,17000000,27895000
2025-12-16,2606,2741000000,4634170000,2863000000,305548000,383267000,1462036000
2025-12-16,3543,429000000,846000000,0,0,1000000,0
2025-12-16,3058,123000000,553049000,0,0,6000000,1000000
2025-12-16,3380,581000000,952000000,0,0,32546000,90271000
2025-12-16,3413,101267000,575105000,58000000,1000000,30001000,47341000
2025-12-16,3701,927500000,1372000000,0,0,9000000,8287000
2025-12-16,2511,107000000,548000000,0,0,61000000,68000000
2025-12-16,1434,459000000,939000000,0,0,71000000,51295000
2025-12-16,9945,1667000000,2307400000,260000000,8000000,149368000,233499000
2025-12-16,2498,2914020000,2812000000,0,0,81620000,656244000
2025-12-16,1513,905236000,1315100000,0,45147000,94000000,113875000
2025-12-16,4916,2825047000,2877000000,0,0,11034000,434001000
2025-12-16,3023,313000000,865000000,77205000,49000000,53228000,13811000
2025-12-16,00655L,25000000,198000000,0,0,1717000000,2031077000
2025-12-16,6243,456000000,938000000,0,0,2000000,7185000
2025-12-16,2405,292000000,789000000,0,0,5000000,2000000
2025-12-16,2338,128001000,590000000,0,0,43069000,76341000
2025-12-16,8926,348000000,859000000,0,0,46000000,48949000
2025-12-16,2206,119000000,562000000,0,69527000,32000000,34190000
2025-12-16,5284,320000000,734490000,0,0,18503000,124626000
2025-12-16,00647L,0,18000000,0,0,241000000,757008000
2025-12-16,1582,83000000,616000000,0,0,13000000,14295000
2025-12-16,2451,3068005000,2159800000,83600000,1348145000,52029000,243354000
2025-12-16,4763,1317350000,4508248000,2668000000,52724000,127028000,103535000
2025-12-16,2228,366108000,859409000,0,0,6000000,69995000
2025-12-16,1589,89000000,653118000,0,0,11000000,12781000
2025-12-16,1795,787248000,1484850000,40000000,0,187577000,96866000
